Identifier,Value,Field,Value,,
EURSWAPP15Y,LAST_PRICE,0.0394,,,
EURSWAPP20Y,LAST_PRICE,0.0391,,,
EURSWAPP25Y,LAST_PRICE,0.0389,,,
EURSWAPP30Y,LAST_PRICE,0.0387,,,
EURSWAPP40Y,LAST_PRICE,0.0384,,,
EURSWAPP50Y,LAST_PRICE,0.0379,,,
EURSWAPP80Y,LAST_PRICE,0.0379,,,
GBPSWAPP6M,LAST_PRICE,0.0151,,,
GBPSWAPP9M,LAST_PRICE,0.016,,,
GBPSWAPP1Y,LAST_PRICE,0.0167,,,
GBPSWAPP2Y,LAST_PRICE,0.025,,,
GBPSWAPP3Y,LAST_PRICE,0.031,,,
GBPSWAPP4Y,LAST_PRICE,0.035,,,
GBPSWAPP5Y,LAST_PRICE,0.037,,,
GBPSWAPP6Y,LAST_PRICE,0.039,,,
GBPSWAPP7Y,LAST_PRICE,0.04,,,
GBPSWAPP8Y,LAST_PRICE,0.041,,,
GBPSWAPP9Y,LAST_PRICE,0.0408,,,
GBPSWAPP10Y,LAST_PRICE,0.0406,,,
GBPSWAPP12Y,LAST_PRICE,0.0398,,,
GBPSWAPP15Y,LAST_PRICE,0.0394,,,
GBPSWAPP20Y,LAST_PRICE,0.0391,,,
GBPSWAPP25Y,LAST_PRICE,0.0389,,,
GBPSWAPP30Y,LAST_PRICE,0.0387,,,
GBPSWAPP40Y,LAST_PRICE,0.0384,,,
GBPSWAPP50Y,LAST_PRICE,0.0379,,,
GBPSWAPP80Y,LAST_PRICE,0.0379,,,
CHFSWAPP6M,LAST_PRICE,0.0151,,,
CHFSWAPP9M,LAST_PRICE,0.016,,,
CHFSWAPP1Y,LAST_PRICE,0.0167,,,
CHFSWAPP2Y,LAST_PRICE,0.025,,,
CHFSWAPP3Y,LAST_PRICE,0.031,,,
CHFSWAPP4Y,LAST_PRICE,0.035,,,
CHFSWAPP5Y,LAST_PRICE,0.037,,,
CHFSWAPP6Y,LAST_PRICE,0.039,,,
CHFSWAPP7Y,LAST_PRICE,0.04,,,
CHFSWAPP8Y,LAST_PRICE,0.041,,,
CHFSWAPP9Y,LAST_PRICE,0.0408,,,
CHFSWAPP10Y,LAST_PRICE,0.0406,,,
CHFSWAPP12Y,LAST_PRICE,0.0398,,,
CHFSWAPP15Y,LAST_PRICE,0.0394,,,
CHFSWAPP20Y,LAST_PRICE,0.0391,,,
CHFSWAPP25Y,LAST_PRICE,0.0389,,,
CHFSWAPP30Y,LAST_PRICE,0.0387,,,
CHFSWAPP40Y,LAST_PRICE,0.0384,,,
CHFSWAPP50Y,LAST_PRICE,0.0379,,,
CHFSWAPP80Y,LAST_PRICE,0.0379,,,
JPYSWAPP6M,LAST_PRICE,0.0126,,,
JPYSWAPP9M,LAST_PRICE,0.0132,,,
JPYSWAPP1Y,LAST_PRICE,0.014,,,
JPYSWAPP2Y,LAST_PRICE,0.025,,,
JPYSWAPP3Y,LAST_PRICE,0.031,,,
JPYSWAPP4Y,LAST_PRICE,0.035,,,
JPYSWAPP5Y,LAST_PRICE,0.037,,,
JPYSWAPP6Y,LAST_PRICE,0.039,,,
JPYSWAPP7Y,LAST_PRICE,0.04,,,
JPYSWAPP8Y,LAST_PRICE,0.041,,,
JPYSWAPP9Y,LAST_PRICE,0.0408,,,
JPYSWAPP10Y,LAST_PRICE,0.0406,,,
JPYSWAPP12Y,LAST_PRICE,0.0398,,,
JPYSWAPP15Y,LAST_PRICE,0.0394,,,
JPYSWAPP20Y,LAST_PRICE,0.0391,,,
JPYSWAPP25Y,LAST_PRICE,0.0389,,,
JPYSWAPP30Y,LAST_PRICE,0.0387,,,
JPYSWAPP40Y,LAST_PRICE,0.0384,,,
JPYSWAPP50Y,LAST_PRICE,0.0379,,,
JPYSWAPP80Y,LAST_PRICE,0.0379,,,
NZDSWAPP2Y,LAST_PRICE,0.025,,,
NZDSWAPP3Y,LAST_PRICE,0.031,,,
NZDSWAPP4Y,LAST_PRICE,0.035,,,
NZDSWAPP5Y,LAST_PRICE,0.037,,,
NZDSWAPP6Y,LAST_PRICE,0.039,,,
NZDSWAPP7Y,LAST_PRICE,0.04,,,
NZDSWAPP8Y,LAST_PRICE,0.041,,,
NZDSWAPP9Y,LAST_PRICE,0.0408,,,
NZDSWAPP10Y,LAST_PRICE,0.0406,,,
NZDSWAPP12Y,LAST_PRICE,0.0398,,,
NZDSWAPP15Y,LAST_PRICE,0.0394,,,
NZDSWAPP20Y,LAST_PRICE,0.0391,,,
NZDSWAPP25Y,LAST_PRICE,0.0389,,,
NZDSWAPP30Y,LAST_PRICE,0.0387,,,
NZDSWAPP40Y,LAST_PRICE,0.0384,,,
NZDSWAPP50Y,LAST_PRICE,0.0379,,,
NZDSWAPP80Y,LAST_PRICE,0.0379,,,
DKKSWAPP2Y,LAST_PRICE,0.025,,,
DKKSWAPP3Y,LAST_PRICE,0.031,,,
DKKSWAPP4Y,LAST_PRICE,0.035,,,
DKKSWAPP5Y,LAST_PRICE,0.037,,,
DKKSWAPP6Y,LAST_PRICE,0.039,,,
DKKSWAPP7Y,LAST_PRICE,0.04,,,
DKKSWAPP8Y,LAST_PRICE,0.041,,,
DKKSWAPP9Y,LAST_PRICE,0.0408,,,
DKKSWAPP10Y,LAST_PRICE,0.0406,,,
DKKSWAPP12Y,LAST_PRICE,0.0398,,,
DKKSWAPP15Y,LAST_PRICE,0.0394,,,
DKKSWAPP20Y,LAST_PRICE,0.0391,,,
DKKSWAPP25Y,LAST_PRICE,0.0389,,,
DKKSWAPP30Y,LAST_PRICE,0.0387,,,
DKKSWAPP40Y,LAST_PRICE,0.0384,,,
DKKSWAPP50Y,LAST_PRICE,0.0379,,,
DKKSWAPP80Y,LAST_PRICE,0.0379,,,
AUDSWAPP1Y,LAST_PRICE,0.015,,,
AUDSWAPP2Y,LAST_PRICE,0.025,,,
AUDSWAPP3Y,LAST_PRICE,0.031,,,
AUDSWAPP4Y,LAST_PRICE,0.035,,,
AUDSWAPP5Y,LAST_PRICE,0.037,,,
AUDSWAPP6Y,LAST_PRICE,0.039,,,
AUDSWAPP7Y,LAST_PRICE,0.04,,,
AUDSWAPP8Y,LAST_PRICE,0.041,,,
AUDSWAPP9Y,LAST_PRICE,0.0408,,,
AUDSWAPP10Y,LAST_PRICE,0.0406,,,
AUDSWAPP12Y,LAST_PRICE,0.0398,,,
AUDSWAPP15Y,LAST_PRICE,0.0394,,,
AUDSWAPP20Y,LAST_PRICE,0.0391,,,
AUDSWAPP25Y,LAST_PRICE,0.0389,,,
AUDSWAPP30Y,LAST_PRICE,0.0387,,,
AUDSWAPP40Y,LAST_PRICE,0.0384,,,
AUDSWAPP50Y,LAST_PRICE,0.0379,,,
AUDSWAPP80Y,LAST_PRICE,0.0379,,,
#Libor,,,,,
USDLIBORP7D,LAST_PRICE,0.003,,,
USDLIBORP14D,LAST_PRICE,0.0032,,,
USDLIBORP1M,LAST_PRICE,0.0034,,,
USDLIBORP2M,LAST_PRICE,0.0044,,,
USDLIBORP3M,LAST_PRICE,0.0055,,,
USDLIBORP6M,LAST_PRICE,0.0082,,,
USDLIBORP12M,LAST_PRICE,0.0167,,,
EURLIBORP7D,LAST_PRICE,0.0012,,,
EURLIBORP14D,LAST_PRICE,0.0013,,,
EURLIBORP1M,LAST_PRICE,0.00138,,,
EURLIBORP2M,LAST_PRICE,0.0014,,,
EURLIBORP3M,LAST_PRICE,0.0155,,,
EURLIBORP6M,LAST_PRICE,0.01793,,,
EURLIBORP12M,LAST_PRICE,0.0216,,,
GBPLIBORP7D,LAST_PRICE,0.0013,,,
GBPLIBORP14D,LAST_PRICE,0.002,,,
GBPLIBORP1M,LAST_PRICE,0.00238,,,
GBPLIBORP2M,LAST_PRICE,0.005,,,
GBPLIBORP3M,LAST_PRICE,0.00834,,,
GBPLIBORP6M,LAST_PRICE,0.0119,,,
GBPLIBORP12M,LAST_PRICE,0.01593,,,
CHFLIBORP7D,LAST_PRICE,0.0011,,,
CHFLIBORP14D,LAST_PRICE,0.0012,,,
CHFLIBORP1M,LAST_PRICE,0.0013,,,
CHFLIBORP2M,LAST_PRICE,0.00135,,,
CHFLIBORP3M,LAST_PRICE,0.00138,,,
CHFLIBORP6M,LAST_PRICE,0.0024,,,
CHFLIBORP12M,LAST_PRICE,0.005,,,
JPYLIBORP7D,LAST_PRICE,0.0012,,,
JPYLIBORP14D,LAST_PRICE,0.0013,,,
JPYLIBORP1M,LAST_PRICE,0.00138,,,
JPYLIBORP2M,LAST_PRICE,0.0017,,,
JPYLIBORP3M,LAST_PRICE,0.00195,,,
JPYLIBORP6M,LAST_PRICE,0.0034,,,
JPYLIBORP12M,LAST_PRICE,0.00559,,,
NZDLIBORP3M,LAST_PRICE,2.878,,,
NZDLIBORP6M,LAST_PRICE,3.124,,,
NZDLIBORP12M,LAST_PRICE,3.542,,,
DKKLIBORP3M,LAST_PRICE,1.006,,,
DKKLIBORP6M,LAST_PRICE,1.262,,,
DKKLIBORP12M,LAST_PRICE,1.511,,,
AUDLIBORP7D,LAST_PRICE,0.003,,,
AUDLIBORP14D,LAST_PRICE,0.0032,,,
AUDLIBORP1M,LAST_PRICE,0.0034,,,
AUDLIBORP2M,LAST_PRICE,0.0044,,,
AUDLIBORP3M,LAST_PRICE,0.0055,,,
AUDLIBORP6M,LAST_PRICE,0.0082,,,
AUDLIBORP12M,LAST_PRICE,0.0167,,,
#Euribor,,,,,
EUREURIBORP7D,LAST_PRICE,0.0012,,,
EUREURIBORP14D,LAST_PRICE,0.0013,,,
EUREURIBORP1M,LAST_PRICE,0.00138,,,
EUREURIBORP2M,LAST_PRICE,0.0014,,,
EUREURIBORP3M,LAST_PRICE,0.0155,,,
EUREURIBORP6M,LAST_PRICE,0.01793,,,
EUREURIBORP12M,LAST_PRICE,0.0216,,,
#OIS,,,,,
USDOIS_SWAPP1M,LAST_PRICE,0.0027,,,
USDOIS_SWAPP2M,LAST_PRICE,0.0027,,,
USDOIS_SWAPP3M,LAST_PRICE,0.0026,,,
USDOIS_SWAPP4M,LAST_PRICE,0.0027,,,
USDOIS_SWAPP5M,LAST_PRICE,0.003,,,
USDOIS_SWAPP6M,LAST_PRICE,0.003,,,
USDOIS_SWAPP9M,LAST_PRICE,0.0031,,,
USDOIS_SWAPP1Y,LAST_PRICE,0.0032,,,
USDOIS_SWAPP2Y,LAST_PRICE,0.0035,,,
USDOIS_SWAPP3Y,LAST_PRICE,0.0045,,,
USDOIS_SWAPP4Y,LAST_PRICE,0.0075,,,
USDOIS_SWAPP5Y,LAST_PRICE,0.01,,,
USDOIS_SWAPP10Y,LAST_PRICE,0.015,,,
EUROIS_SWAPP1M,LAST_PRICE,0.0027,,,
EUROIS_SWAPP2M,LAST_PRICE,0.0027,,,
EUROIS_SWAPP3M,LAST_PRICE,0.0026,,,
EUROIS_SWAPP4M,LAST_PRICE,0.0027,,,
EUROIS_SWAPP5M,LAST_PRICE,0.003,,,
EUROIS_SWAPP6M,LAST_PRICE,0.003,,,
EUROIS_SWAPP9M,LAST_PRICE,0.0031,,,
EUROIS_SWAPP1Y,LAST_PRICE,0.0032,,,
EUROIS_SWAPP2Y,LAST_PRICE,0.0035,,,
EUROIS_SWAPP3Y,LAST_PRICE,0.0045,,,
EUROIS_SWAPP4Y,LAST_PRICE,0.0075,,,
EUROIS_SWAPP5Y,LAST_PRICE,0.01,,,
EUROIS_SWAPP10Y,LAST_PRICE,0.015,,,
CHFOIS_SWAPP1M,LAST_PRICE,0.0027,,,
CHFOIS_SWAPP2M,LAST_PRICE,0.0027,,,
CHFOIS_SWAPP3M,LAST_PRICE,0.0026,,,
CHFOIS_SWAPP4M,LAST_PRICE,0.0027,,,
CHFOIS_SWAPP5M,LAST_PRICE,0.003,,,
CHFOIS_SWAPP6M,LAST_PRICE,0.003,,,
CHFOIS_SWAPP9M,LAST_PRICE,0.0031,,,
CHFOIS_SWAPP1Y,LAST_PRICE,0.0032,,,
CHFOIS_SWAPP2Y,LAST_PRICE,0.0035,,,
CHFOIS_SWAPP3Y,LAST_PRICE,0.0045,,,
CHFOIS_SWAPP4Y,LAST_PRICE,0.0075,,,
CHFOIS_SWAPP5Y,LAST_PRICE,0.01,,,
CHFOIS_SWAPP10Y,LAST_PRICE,0.015,,,
JPYOIS_SWAPP1M,LAST_PRICE,0.0027,,,
JPYOIS_SWAPP2M,LAST_PRICE,0.0027,,,
JPYOIS_SWAPP3M,LAST_PRICE,0.0026,,,
JPYOIS_SWAPP4M,LAST_PRICE,0.0027,,,
JPYOIS_SWAPP5M,LAST_PRICE,0.003,,,
JPYOIS_SWAPP6M,LAST_PRICE,0.003,,,
JPYOIS_SWAPP9M,LAST_PRICE,0.0031,,,
JPYOIS_SWAPP1Y,LAST_PRICE,0.0032,,,
JPYOIS_SWAPP2Y,LAST_PRICE,0.0035,,,
JPYOIS_SWAPP3Y,LAST_PRICE,0.0045,,,
JPYOIS_SWAPP4Y,LAST_PRICE,0.0075,,,
JPYOIS_SWAPP5Y,LAST_PRICE,0.01,,,
JPYOIS_SWAPP10Y,LAST_PRICE,0.015,,,
GBPOIS_SWAPP1M,LAST_PRICE,0.0027,,,
GBPOIS_SWAPP2M,LAST_PRICE,0.0027,,,
GBPOIS_SWAPP3M,LAST_PRICE,0.0026,,,
GBPOIS_SWAPP4M,LAST_PRICE,0.0027,,,
GBPOIS_SWAPP5M,LAST_PRICE,0.003,,,
GBPOIS_SWAPP6M,LAST_PRICE,0.003,,,
GBPOIS_SWAPP9M,LAST_PRICE,0.0031,,,
GBPOIS_SWAPP1Y,LAST_PRICE,0.0032,,,
GBPOIS_SWAPP2Y,LAST_PRICE,0.0035,,,
GBPOIS_SWAPP3Y,LAST_PRICE,0.0045,,,
GBPOIS_SWAPP4Y,LAST_PRICE,0.0075,,,
GBPOIS_SWAPP5Y,LAST_PRICE,0.01,,,
GBPOIS_SWAPP10Y,LAST_PRICE,0.015,,,
AUDOIS_SWAPP1M,LAST_PRICE,0.0027,,,
AUDOIS_SWAPP2M,LAST_PRICE,0.0027,,,
AUDOIS_SWAPP3M,LAST_PRICE,0.0026,,,
AUDOIS_SWAPP4M,LAST_PRICE,0.0027,,,
AUDOIS_SWAPP5M,LAST_PRICE,0.003,,,
AUDOIS_SWAPP6M,LAST_PRICE,0.003,,,
AUDOIS_SWAPP9M,LAST_PRICE,0.0031,,,
AUDOIS_SWAPP1Y,LAST_PRICE,0.0032,,,
AUDOIS_SWAPP2Y,LAST_PRICE,0.0035,,,
AUDOIS_SWAPP3Y,LAST_PRICE,0.0045,,,
AUDOIS_SWAPP4Y,LAST_PRICE,0.0075,,,
AUDOIS_SWAPP5Y,LAST_PRICE,0.01,,,
AUDOIS_SWAPP10Y,LAST_PRICE,0.015,,,
#FRA,,,,,
USDFRAP6M,LAST_PRICE,0.0055,,,
USDFRAP9M,LAST_PRICE,0.006,,,
EURFRAP6M,LAST_PRICE,0.0055,,,
EURFRAP9M,LAST_PRICE,0.006,,,
EURFRAP12M,LAST_PRICE,0.0069,,,
CHFFRAP6M,LAST_PRICE,0.0055,,,
CHFFRAP9M,LAST_PRICE,0.006,,,
GBPFRAP6M,LAST_PRICE,0.0055,,,
GBPFRAP9M,LAST_PRICE,0.006,,,
JPYFRAP6M,LAST_PRICE,0.0055,,,
JPYFRAP9M,LAST_PRICE,0.006,,,
#Overnight,,,,,
USDFF,LAST_PRICE,0.0025,,,
EONIA,LAST_PRICE,0.00125,,,
USDOVERNIGHT,LAST_PRICE,0.0025,,,
EUROVERNIGHT,LAST_PRICE,0.00125,,,
SONIO,LAST_PRICE,0.003,,,
TONAR,LAST_PRICE,0.001,,,
TOISTOIS,LAST_PRICE,0.0001,,,
AUDON,LAST_PRICE,0.002,,,
#Basis,Swaps,,,,
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P1Y,LAST_PRICE,0.001,,,
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P2Y,LAST_PRICE,0.001,,,
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P3Y,LAST_PRICE,0.001,,,
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P4Y,LAST_PRICE,0.001,,,
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P5Y,LAST_PRICE,0.001,,,
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P6Y,LAST_PRICE,0.001,,,
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P7Y,LAST_PRICE,0.001,,,
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P8Y,LAST_PRICE,0.001,,,
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P9Y,LAST_PRICE,0.001,,,
AUDBASIS_SWAP_BBSWP3MBBSWP6M_P10Y,LAST_PRICE,0.001,,,
#Fixing,,,,,
USDISDA10P1Y,LAST_PRICE,0.014,,,
USDISDA10P2Y,LAST_PRICE,0.025,,,
USDISDA10P3Y,LAST_PRICE,0.031,,,
USDISDA10P4Y,LAST_PRICE,0.035,,,
USDISDA10P5Y,LAST_PRICE,0.037,,,
USDISDA10P6Y,LAST_PRICE,0.039,,,
USDISDA10P7Y,LAST_PRICE,0.04,,,
USDISDA10P8Y,LAST_PRICE,0.041,,,
USDISDA10P9Y,LAST_PRICE,0.0408,,,
USDISDA10P10Y,LAST_PRICE,0.0406,,,
USDISDA10P12Y,LAST_PRICE,0.0398,,,
USDISDA10P15Y,LAST_PRICE,0.0394,,,
USDISDA10P20Y,LAST_PRICE,0.0391,,,
USDISDA10P25Y,LAST_PRICE,0.0389,,,
USDISDA10P30Y,LAST_PRICE,0.0387,,,
USDISDA10P40Y,LAST_PRICE,0.0384,,,
USDISDA10P50Y,LAST_PRICE,0.0379,,,
USDISDA10P80Y,LAST_PRICE,0.0379,,,
AUDBBP6M,LAST_PRICE,0.01,,,
AUDBBP3M,LAST_PRICE,0.01,,,
#,FX,,,,
USDJPY,LAST_PRICE,80,,,
EURUSD,LAST_PRICE,1.328,,,
USDCHF,LAST_PRICE,0.84,,,
GBPUSD,LAST_PRICE,1.588,,,
AUDUSD,LAST_PRICE,1.1,,,
GBPEUR,LAST_PRICE,1.2,,,
CHFJPY,LAST_PRICE,100,,,
JPYUSD,LAST_PRICE,0.0125,,,
CHFUSD,LAST_PRICE,1.19,,,
USDUGX,LAST_PRICE,2550,,,
#Index,,,,,
SPX,LAST_PRICE,1300.67,,,
#,Swaption,Cube,,,
USDSWAPTIONVOL10Y10YN100.0,LAST_PRICE,0.265426773785303,,,
USDSWAPTIONVOL10Y10YN200.0,LAST_PRICE,0.295089301572078,,,
USDSWAPTIONVOL10Y10YP0.0,LAST_PRICE,0.2453,,,
USDSWAPTIONVOL10Y15YN100.0,LAST_PRICE,0.251826773785303,,,
USDSWAPTIONVOL10Y15YN200.0,LAST_PRICE,0.281489301572078,,,
USDSWAPTIONVOL10Y15YP0.0,LAST_PRICE,0.2317,,,
USDSWAPTIONVOL10Y15YP100.0,LAST_PRICE,0.220132230083926,,,
USDSWAPTIONVOL10Y15YP200.0,LAST_PRICE,0.215958565977901,,,
USDSWAPTIONVOL10Y1YN100.0,LAST_PRICE,0.276926773785303,,,
USDSWAPTIONVOL10Y1YN200.0,LAST_PRICE,0.306589301572078,,,
USDSWAPTIONVOL10Y1YP0.0,LAST_PRICE,0.2568,,,
USDSWAPTIONVOL10Y1YP100.0,LAST_PRICE,0.245232230083926,,,
USDSWAPTIONVOL10Y1YP200.0,LAST_PRICE,0.241058565977901,,,
USDSWAPTIONVOL10Y20YN100.0,LAST_PRICE,0.247126773785303,,,
USDSWAPTIONVOL10Y20YN200.0,LAST_PRICE,0.276789301572078,,,
USDSWAPTIONVOL10Y20YP0.0,LAST_PRICE,0.227,,,
USDSWAPTIONVOL10Y2YN100.0,LAST_PRICE,0.276626773785303,,,
USDSWAPTIONVOL10Y2YN200.0,LAST_PRICE,0.306289301572078,,,
USDSWAPTIONVOL10Y2YP0.0,LAST_PRICE,0.2565,,,
USDSWAPTIONVOL10Y2YP100.0,LAST_PRICE,0.244932230083926,,,
USDSWAPTIONVOL10Y2YP200.0,LAST_PRICE,0.240758565977901,,,
USDSWAPTIONVOL10Y30YN100.0,LAST_PRICE,0.244426773785303,,,
USDSWAPTIONVOL10Y30YN200.0,LAST_PRICE,0.274089301572078,,,
USDSWAPTIONVOL10Y30YP0.0,LAST_PRICE,0.2243,,,
USDSWAPTIONVOL10Y30YP100.0,LAST_PRICE,0.212732230083926,,,
USDSWAPTIONVOL10Y30YP200.0,LAST_PRICE,0.208558565977901,,,
USDSWAPTIONVOL10Y3MN100.0,LAST_PRICE,0.275171357118637,,,
USDSWAPTIONVOL10Y3MN200.0,LAST_PRICE,0.304833884905411,,,
USDSWAPTIONVOL10Y3MP0.0,LAST_PRICE,0.255044583333333,,,
USDSWAPTIONVOL10Y3MP100.0,LAST_PRICE,0.243476813417259,,,
USDSWAPTIONVOL10Y3MP200.0,LAST_PRICE,0.239303149311234,,,
USDSWAPTIONVOL10Y5YN100.0,LAST_PRICE,0.265726773785303,,,
USDSWAPTIONVOL10Y5YN200.0,LAST_PRICE,0.295389301572078,,,
USDSWAPTIONVOL10Y5YP0.0,LAST_PRICE,0.2456,,,
USDSWAPTIONVOL10Y5YP100.0,LAST_PRICE,0.234032230083926,,,
USDSWAPTIONVOL10Y5YP200.0,LAST_PRICE,0.229858565977901,,,
USDSWAPTIONVOL15Y10YN100.0,LAST_PRICE,0.259026773785303,,,
USDSWAPTIONVOL15Y10YN200.0,LAST_PRICE,0.288689301572078,,,
USDSWAPTIONVOL15Y10YP0.0,LAST_PRICE,0.2389,,,
USDSWAPTIONVOL15Y10YP100.0,LAST_PRICE,0.227332230083926,,,
USDSWAPTIONVOL15Y10YP200.0,LAST_PRICE,0.223158565977901,,,
USDSWAPTIONVOL15Y15YN100.0,LAST_PRICE,0.238126773785303,,,
USDSWAPTIONVOL15Y15YN200.0,LAST_PRICE,0.267789301572078,,,
USDSWAPTIONVOL15Y15YP0.0,LAST_PRICE,0.218,,,
USDSWAPTIONVOL15Y1YN100.0,LAST_PRICE,0.256126773785303,,,
USDSWAPTIONVOL15Y1YN200.0,LAST_PRICE,0.285789301572078,,,
USDSWAPTIONVOL15Y1YP0.0,LAST_PRICE,0.236,,,
USDSWAPTIONVOL15Y1YP100.0,LAST_PRICE,0.224432230083926,,,
USDSWAPTIONVOL15Y1YP200.0,LAST_PRICE,0.220258565977901,,,
USDSWAPTIONVOL15Y20YN100.0,LAST_PRICE,0.239426773785303,,,
USDSWAPTIONVOL15Y20YN200.0,LAST_PRICE,0.269089301572078,,,
USDSWAPTIONVOL15Y20YP0.0,LAST_PRICE,0.2193,,,
USDSWAPTIONVOL15Y20YP100.0,LAST_PRICE,0.207732230083926,,,
USDSWAPTIONVOL15Y20YP200.0,LAST_PRICE,0.203558565977901,,,
USDSWAPTIONVOL15Y2YN100.0,LAST_PRICE,0.251126773785303,,,
USDSWAPTIONVOL15Y2YN200.0,LAST_PRICE,0.280789301572078,,,
USDSWAPTIONVOL15Y2YP0.0,LAST_PRICE,0.231,,,
USDSWAPTIONVOL15Y2YP100.0,LAST_PRICE,0.219432230083926,,,
USDSWAPTIONVOL15Y2YP200.0,LAST_PRICE,0.215258565977901,,,
USDSWAPTIONVOL15Y30YN100.0,LAST_PRICE,0.237826773785303,,,
USDSWAPTIONVOL15Y30YN200.0,LAST_PRICE,0.267489301572078,,,
USDSWAPTIONVOL15Y30YP0.0,LAST_PRICE,0.2177,,,
USDSWAPTIONVOL15Y30YP100.0,LAST_PRICE,0.206132230083926,,,
USDSWAPTIONVOL15Y30YP200.0,LAST_PRICE,0.201958565977901,,,
USDSWAPTIONVOL15Y3MN100.0,LAST_PRICE,0.264955146181137,,,
USDSWAPTIONVOL15Y3MN200.0,LAST_PRICE,0.294617673967912,,,
USDSWAPTIONVOL15Y3MP0.0,LAST_PRICE,0.244828372395833,,,
USDSWAPTIONVOL15Y3MP100.0,LAST_PRICE,0.233260602479759,,,
USDSWAPTIONVOL15Y3MP200.0,LAST_PRICE,0.229086938373734,,,
USDSWAPTIONVOL15Y5YN100.0,LAST_PRICE,0.263826773785303,,,
USDSWAPTIONVOL15Y5YN200.0,LAST_PRICE,0.293489301572078,,,
USDSWAPTIONVOL15Y5YP0.0,LAST_PRICE,0.2437,,,
USDSWAPTIONVOL15Y5YP100.0,LAST_PRICE,0.232132230083926,,,
USDSWAPTIONVOL15Y5YP200.0,LAST_PRICE,0.227958565977901,,,
USDSWAPTIONVOL1Y10YN100.0,LAST_PRICE,0.403326773785303,,,
USDSWAPTIONVOL1Y10YN200.0,LAST_PRICE,0.432989301572078,,,
USDSWAPTIONVOL1Y10YP0.0,LAST_PRICE,0.3832,,,
USDSWAPTIONVOL1Y15YN100.0,LAST_PRICE,0.359426773785303,,,
USDSWAPTIONVOL1Y15YN200.0,LAST_PRICE,0.389089301572078,,,
USDSWAPTIONVOL1Y15YP0.0,LAST_PRICE,0.3393,,,
USDSWAPTIONVOL1Y15YP100.0,LAST_PRICE,0.327732230083926,,,
USDSWAPTIONVOL1Y15YP200.0,LAST_PRICE,0.323558565977901,,,
USDSWAPTIONVOL1Y1YN100.0,LAST_PRICE,0.716426773785303,,,
USDSWAPTIONVOL1Y1YN200.0,LAST_PRICE,0.746089301572078,,,
USDSWAPTIONVOL1Y1YN25.0,LAST_PRICE,0.700603069571098,,,
USDSWAPTIONVOL1Y1YN50.0,LAST_PRICE,0.705380236714466,,,
USDSWAPTIONVOL1Y1YN70.0,LAST_PRICE,0.709555582013163,,,
USDSWAPTIONVOL1Y1YP70.0,LAST_PRICE,0.687269530686113,,,
USDSWAPTIONVOL1Y1YP75.0,LAST_PRICE,0.686797652982777,,,
USDSWAPTIONVOL1Y20YN100.0,LAST_PRICE,0.347626773785303,,,
USDSWAPTIONVOL1Y20YN200.0,LAST_PRICE,0.377289301572078,,,
USDSWAPTIONVOL1Y20YP0.0,LAST_PRICE,0.3275,,,
USDSWAPTIONVOL1Y20YP100.0,LAST_PRICE,0.315932230083926,,,
USDSWAPTIONVOL1Y20YP200.0,LAST_PRICE,0.311758565977901,,,
USDSWAPTIONVOL1Y2YN100.0,LAST_PRICE,0.616626773785304,,,
USDSWAPTIONVOL1Y2YN20.0,LAST_PRICE,0.599901358145221,,,
USDSWAPTIONVOL1Y2YN200.0,LAST_PRICE,0.646289301572078,,,
USDSWAPTIONVOL1Y2YN50.0,LAST_PRICE,0.605580236714466,,,
USDSWAPTIONVOL1Y2YN70.0,LAST_PRICE,0.609755582013163,,,
USDSWAPTIONVOL1Y2YP100.0,LAST_PRICE,0.584932230083926,,,
USDSWAPTIONVOL1Y2YP20.0,LAST_PRICE,0.59343758269308,,,
USDSWAPTIONVOL1Y2YP200.0,LAST_PRICE,0.580758565977901,,,
USDSWAPTIONVOL1Y2YP50.0,LAST_PRICE,0.589565501646852,,,
USDSWAPTIONVOL1Y2YP70.0,LAST_PRICE,0.587469530686113,,,
USDSWAPTIONVOL1Y2YP75.0,LAST_PRICE,0.586997652982777,,,
USDSWAPTIONVOL1Y30YN100.0,LAST_PRICE,0.338626773785303,,,
USDSWAPTIONVOL1Y30YN200.0,LAST_PRICE,0.368289301572078,,,
USDSWAPTIONVOL1Y30YP0.0,LAST_PRICE,0.3185,,,
USDSWAPTIONVOL1Y30YP100.0,LAST_PRICE,0.306932230083926,,,
USDSWAPTIONVOL1Y30YP200.0,LAST_PRICE,0.302758565977901,,,
USDSWAPTIONVOL1Y3MN100.0,LAST_PRICE,0.81752996388947,,,
USDSWAPTIONVOL1Y3MN20.0,LAST_PRICE,0.800804548249388,,,
USDSWAPTIONVOL1Y3MN200.0,LAST_PRICE,0.847192491676245,,,
USDSWAPTIONVOL1Y3MN50.0,LAST_PRICE,0.806483426818633,,,
